iter	Passed	Remaining
0	133	133473
1	136	67956
2	138	46052
3	140	34888
4	143	28461
5	144	24001
6	146	20799
7	148	18407
8	150	16523
9	153	15161
10	154	13935
11	157	12974
12	159	12099
13	162	11410
14	164	10834
15	167	10313
16	169	9805
17	171	9348
18	174	8988
19	176	8624
20	178	8341
21	180	8038
22	184	7824
23	187	7629
24	190	7423
25	192	7206
26	195	7032
27	196	6836
28	199	6678
29	201	6525
30	204	6396
31	206	6247
32	208	6121
33	211	6013
34	214	5904
35	216	5785
36	218	5678
37	219	5563
38	221	5466
39	224	5388
40	226	5291
41	228	5216
42	230	5133
43	232	5062
44	235	4997
45	237	4934
46	240	4876
47	243	4821
48	245	4766
49	247	4703
50	250	4652
51	252	4602
52	254	4547
53	257	4504
54	258	4449
55	261	4405
56	263	4363
57	266	4324
58	268	4276
59	270	4235
60	272	4191
61	274	4159
62	277	4126
63	279	4093
64	281	4056
65	284	4026
66	287	3997
67	289	3964
68	290	3924
69	293	3900
70	295	3870
71	297	3833
72	299	3808
73	302	3789
74	304	3757
75	306	3724
76	308	3698
77	310	3675
78	313	3653
79	315	3630
80	317	3602
81	320	3583
82	321	3554
83	324	3538
84	326	3513
85	328	3495
86	331	3474
87	333	3459
88	335	3437
89	337	3417
90	339	3391
91	341	3374
92	344	3358
93	346	3336
94	348	3323
95	351	3308
96	353	3290
97	355	3275
98	358	3260
99	360	3244
100	362	3223
101	364	3205
102	365	3185
103	367	3167
104	370	3155
105	372	3144
106	375	3133
107	377	3115
108	379	3105
109	382	3094
110	384	3078
111	387	3069
112	389	3059
113	392	3047
114	393	3032
115	395	3016
116	398	3004
117	400	2990
118	401	2975
119	404	2964
120	406	2955
121	409	2943
122	411	2930
123	413	2921
124	416	2912
125	418	2902
126	421	2894
127	422	2881
128	426	2881
129	429	2872
130	431	2859
131	433	2847
132	435	2840
133	438	2832
134	441	2825
135	442	2813
136	444	2800
137	446	2789
138	449	2781
139	451	2774
140	453	2765
141	456	2755
142	458	2747
143	460	2738
144	462	2728
145	467	2735
146	469	2726
147	472	2720
148	475	2714
149	477	2708
150	479	2698
151	482	2691
152	485	2685
153	487	2679
154	490	2673
155	493	2669
156	495	2661
157	497	2652
158	499	2642
159	501	2631
160	504	2627
161	505	2617
162	508	2609
163	510	2603
164	513	2598
165	515	2592
166	517	2583
167	520	2578
168	522	2568
169	524	2558
170	526	2553
171	528	2544
172	530	2536
173	533	2531
174	535	2526
175	538	2520
176	540	2514
177	543	2508
178	545	2502
179	548	2498
180	551	2495
181	554	2491
182	557	2488
183	559	2481
184	561	2474
185	564	2471
186	567	2465
187	569	2460
188	571	2454
189	574	2447
190	576	2441
191	580	2443
192	582	2435
193	584	2429
194	587	2424
195	589	2416
196	591	2409
197	593	2402
198	595	2398
199	599	2398
200	602	2394
201	605	2390
202	607	2385
203	609	2378
204	612	2373
205	613	2366
206	616	2361
207	617	2353
208	619	2345
209	621	2338
210	623	2329
211	624	2321
212	626	2315
213	628	2309
214	631	2304
215	633	2299
216	635	2294
217	638	2289
218	641	2286
219	643	2282
220	646	2278
221	649	2274
222	651	2270
223	654	2266
224	657	2263
225	659	2259
226	662	2256
227	664	2250
228	667	2246
229	668	2239
230	671	2235
231	674	2231
232	676	2227
233	679	2223
234	682	2220
235	684	2216
236	687	2213
237	689	2209
238	692	2204
239	694	2200
240	697	2197
241	700	2193
242	702	2189
243	705	2185
244	708	2181
245	710	2177
246	712	2172
247	715	2168
248	717	2164
249	720	2160
250	721	2153
251	724	2149
252	726	2145
253	728	2140
254	730	2134
255	733	2130
256	736	2130
257	739	2126
258	742	2123
259	744	2119
260	747	2116
261	750	2113
262	753	2110
263	755	2106
264	758	2103
265	760	2099
266	763	2095
267	766	2094
268	768	2089
269	770	2084
270	773	2080
271	776	2077
272	778	2073
273	780	2068
274	783	2066
275	786	2062
276	788	2056
277	790	2052
278	792	2048
279	795	2044
280	798	2042
281	800	2037
282	801	2031
283	804	2027
284	806	2024
285	809	2020
286	811	2014
287	813	2011
288	816	2008
289	819	2005
290	821	2001
291	823	1996
292	825	1991
293	827	1986
294	830	1984
295	832	1980
296	835	1977
297	838	1974
298	840	1970
299	843	1968
300	846	1965
301	848	1962
302	851	1958
303	853	1953
304	854	1948
305	857	1944
306	860	1942
307	862	1937
308	864	1933
309	867	1930
310	869	1926
311	871	1921
312	873	1917
313	878	1918
314	880	1915
315	882	1911
316	885	1907
317	887	1904
318	890	1901
319	892	1896
320	894	1892
321	897	1890
322	900	1886
323	902	1883
324	905	1880
325	908	1877
326	909	1872
327	912	1869
328	918	1873
329	924	1878
330	927	1874
331	929	1870
332	931	1866
333	934	1862
334	945	1877
335	948	1874
336	958	1885
337	961	1882
338	963	1879
339	967	1877
340	970	1875
341	972	1871
342	978	1874
343	981	1871
344	984	1870
345	988	1868
346	991	1865
347	993	1862
348	996	1858
349	1000	1857
350	1002	1854
351	1005	1850
352	1007	1846
353	1009	1842
354	1012	1839
355	1015	1837
356	1018	1833
357	1020	1830
358	1023	1827
359	1026	1824
360	1029	1822
361	1032	1820
362	1036	1819
363	1039	1816
364	1042	1813
365	1044	1810
366	1047	1806
367	1049	1802
368	1052	1798
369	1054	1794
370	1056	1791
371	1059	1788
372	1061	1784
373	1063	1780
374	1065	1775
375	1068	1772
376	1070	1769
377	1072	1765
378	1075	1761
379	1078	1759
380	1080	1755
381	1083	1752
382	1085	1749
383	1087	1744
384	1089	1740
385	1092	1738
386	1094	1734
387	1097	1731
388	1100	1728
389	1102	1725
390	1104	1720
391	1107	1717
392	1109	1713
393	1112	1710
394	1114	1707
395	1117	1704
396	1119	1700
397	1122	1697
398	1125	1694
399	1127	1691
400	1129	1687
401	1132	1684
402	1133	1679
403	1136	1676
404	1139	1674
405	1141	1670
406	1143	1666
407	1145	1662
408	1148	1659
409	1150	1655
410	1152	1652
411	1155	1649
412	1158	1646
413	1160	1643
414	1162	1638
415	1165	1635
416	1166	1631
417	1169	1628
418	1173	1627
419	1176	1624
420	1178	1621
421	1181	1617
422	1183	1613
423	1185	1611
424	1188	1607
425	1191	1605
426	1193	1600
427	1195	1597
428	1197	1594
429	1200	1591
430	1202	1587
431	1204	1583
432	1206	1579
433	1207	1575
434	1209	1571
435	1211	1566
436	1213	1563
437	1216	1560
438	1218	1557
439	1221	1554
440	1223	1550
441	1225	1547
442	1228	1544
443	1230	1540
444	1233	1538
445	1236	1535
446	1238	1532
447	1240	1528
448	1243	1525
449	1245	1522
450	1249	1520
451	1251	1517
452	1253	1513
453	1255	1510
454	1258	1507
455	1260	1503
456	1261	1499
457	1264	1496
458	1267	1493
459	1269	1490
460	1272	1487
