iter	Logloss
0	0.5331088414
1	0.4263569474
2	0.3507493725
3	0.2951029918
4	0.2534496315
5	0.221831903
6	0.1986925909
7	0.181116514
8	0.1666964665
9	0.1548563358
10	0.1462917609
11	0.1375571441
12	0.1316911884
13	0.1266053398
14	0.1223831334
15	0.1191257797
16	0.1144878753
17	0.1111642072
18	0.1085145799
19	0.1066993417
20	0.1048253652
21	0.1024171161
22	0.1003092439
23	0.09876459834
24	0.09769284578
25	0.09690619326
26	0.09632126552
27	0.09568564154
28	0.09517592226
29	0.09417420359
30	0.09348639922
31	0.0932137783
32	0.09226735145
33	0.0917016421
34	0.09138790342
35	0.09127534088
36	0.09113530452
37	0.09088679563
38	0.09066787369
39	0.09021497432
40	0.08965832947
41	0.08916242041
42	0.08887182145
43	0.08860168996
44	0.0881947865
45	0.0879375327
46	0.08786712602
47	0.08767694858
48	0.08765735283
49	0.08735633815
50	0.08719171993
51	0.0871371738
52	0.0871138381
53	0.08702720518
54	0.08669306567
55	0.08665072152
56	0.08654870607
57	0.08648885693
58	0.08613998067
59	0.0860745892
60	0.08602496847
61	0.08595779714
62	0.08575274799
63	0.08547714134
64	0.08538007404
65	0.08511231853
66	0.08488422999
67	0.08480671159
68	0.08479075916
69	0.08456689897
70	0.0845068464
71	0.08444380411
72	0.08440617607
73	0.08439801044
74	0.08427894448
75	0.08423147142
76	0.08405136181
77	0.08401725504
78	0.08397584225
79	0.08394001276
80	0.08390681999
81	0.08381477994
82	0.08360492301
83	0.08356065009
84	0.08352976174
85	0.08350070835
86	0.08346209816
87	0.08332723864
88	0.08331630571
89	0.08320288464
90	0.08316851016
91	0.08313881335
92	0.08309814874
93	0.08307006934
94	0.08304529236
95	0.08293876611
96	0.08293263748
97	0.08292792848
98	0.08292281983
99	0.08290635225
