iter	Passed	Remaining
0	330	330458
1	564	281719
2	791	263050
3	1049	261303
4	1308	260477
5	1561	258744
6	1851	262716
7	2109	261573
8	2368	260784
9	2607	258125
10	2840	255388
11	3068	252634
12	3298	250466
13	3549	250014
14	3978	261283
15	4330	266298
16	4581	264930
17	4971	271224
18	5441	280978
19	5678	278252
20	5903	275209
21	6140	272971
22	6369	270556
23	6606	268657
24	6871	267975
25	7105	266171
26	7346	264757
27	7586	263374
28	7819	261828
29	8084	261397
30	8323	260189
31	8551	258670
32	8784	257401
33	9011	256042
34	9474	261218
35	9826	263131
36	10062	261893
37	10309	260989
38	10562	260280
39	10813	259525
40	11047	258407
41	11323	258288
42	11575	257620
43	11807	256546
44	12045	255630
45	12281	254716
46	12520	253873
47	12744	252761
48	12958	251498
49	13212	251028
50	13466	250590
51	13719	250124
52	13949	249245
53	14169	248222
54	14401	247439
55	14668	247261
56	14891	246364
57	15122	245611
58	15352	244861
59	15575	244011
60	15861	244161
61	16099	243571
62	16360	243326
63	16570	242337
64	16776	241320
65	17009	240711
66	17221	239822
67	17428	238876
68	17620	237755
69	17808	236601
70	17997	235488
71	18196	234537
72	18395	233600
73	18577	232471
74	18773	231543
75	18961	230536
76	19182	229935
77	19397	229289
78	19598	228485
79	19809	227804
80	20001	226931
81	20198	226120
82	20383	225206
83	20567	224284
84	20764	223525
85	20952	222685
86	21151	221964
87	21352	221289
88	21542	220509
89	21732	219741
90	21920	218966
91	22121	218328
92	22338	217863
93	22534	217189
94	22727	216507
95	22917	215803
96	23106	215102
97	23303	214490
98	23498	213855
99	23690	213210
100	23889	212640
101	24093	212116
102	24301	211637
103	24501	211091
104	24694	210491
105	24895	209970
106	25089	209390
107	25299	208951
108	25507	208503
109	25708	208009
110	25937	207735
111	26140	207259
112	26346	206810
113	26561	206432
114	26762	205952
115	26961	205467
116	27162	204999
117	27358	204491
118	27555	204002
119	27756	203550
120	27945	203008
121	28154	202619
122	28345	202105
123	28565	201800
124	28766	201363
