iter	Logloss
0	0.6489631153
1	0.6125565301
2	0.5825231238
3	0.5566808122
4	0.5345431884
5	0.5154789501
6	0.497793801
7	0.4799638966
8	0.4659125586
9	0.4509158051
10	0.43973895
11	0.4271988132
12	0.4188135519
13	0.4106982441
14	0.4038088858
15	0.397638932
16	0.3896606284
17	0.3825556003
18	0.3756030137
19	0.3708610168
20	0.3667926854
21	0.3615508472
22	0.3559949765
23	0.351571411
24	0.3453372959
25	0.3406932169
26	0.3376001287
27	0.3346500922
28	0.332218025
29	0.3267524174
30	0.3241512428
31	0.3220362267
32	0.3173508794
33	0.3151099834
34	0.3111747597
35	0.309292351
36	0.3076390131
37	0.3059058821
38	0.3025211746
39	0.3010294107
40	0.2996686722
41	0.2976634718
42	0.2965043535
43	0.294609055
44	0.292925656
45	0.2918951526
46	0.2898124062
47	0.2889980505
48	0.2867307477
49	0.2854156458
50	0.2843055792
51	0.2827933682
52	0.282020977
53	0.2813405693
54	0.280470629
55	0.2790161683
56	0.2782248576
57	0.2773425446
58	0.275918452
59	0.2739705868
60	0.2733243041
61	0.2718970606
62	0.2714003777
63	0.2704050146
64	0.2692380659
65	0.2683568596
66	0.2675427723
67	0.2671162372
68	0.2661215409
69	0.26497391
70	0.2640443529
71	0.2636667302
72	0.2627596566
73	0.2617994271
74	0.2612127601
75	0.2605578902
76	0.2601112242
77	0.259772844
78	0.2589357942
79	0.258149968
80	0.2574100385
81	0.2568136717
82	0.2560808949
83	0.2553216343
84	0.2547876013
85	0.2540905519
86	0.2528490303
87	0.2520098007
88	0.2517911558
89	0.250727086
90	0.2499536031
91	0.2491794959
92	0.2483914117
93	0.2477095073
94	0.2474748294
95	0.2469018329
96	0.2464806936
97	0.2458702426
98	0.244871177
99	0.2441738162
