iter	Passed	Remaining
0	13	1326
1	29	1447
2	42	1384
3	58	1407
4	70	1347
5	81	1271
6	91	1217
7	104	1198
8	116	1180
9	133	1205
10	148	1205
11	179	1315
12	191	1284
13	204	1255
14	215	1220
15	225	1185
16	239	1171
17	251	1147
18	263	1123
19	274	1096
20	289	1088
21	301	1069
22	321	1076
23	332	1052
24	343	1030
25	353	1005
26	365	987
27	377	970
28	390	956
29	402	939
30	413	920
31	427	908
32	442	898
33	462	897
34	479	890
35	495	880
36	509	866
37	521	850
38	540	845
39	554	831
40	568	818
41	591	817
42	608	806
43	619	788
44	630	770
45	642	754
46	652	736
47	666	721
48	679	707
49	689	689
50	702	675
51	717	662
52	738	654
53	754	642
54	767	627
55	782	614
56	797	601
57	810	587
58	828	576
59	841	561
60	855	546
61	871	534
62	886	520
63	903	508
64	914	492
65	927	477
66	941	463
67	951	447
68	965	433
69	979	419
70	992	405
71	1004	390
72	1020	377
73	1034	363
74	1046	348
75	1059	334
76	1074	320
77	1086	306
78	1099	292
79	1113	278
80	1128	264
81	1141	250
82	1157	236
83	1169	222
84	1182	208
85	1193	194
86	1205	180
87	1217	166
88	1227	151
89	1239	137
90	1252	123
91	1264	109
92	1275	96
93	1333	85
94	1494	78
95	1551	64
96	1612	49
97	1668	34
98	1692	17
99	1703	0
